sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,method,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,ml,mu,sample,subtype,quality,caltype
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.762,0.008,-6.6,0.0226,0.0023,4.715e-06,,,,0.455,0.011,6.4e-05,NGC5490,34.267,0.08,9.028,0.023,0.0,0.0,11.14,11.06,11.22,N/A,N/A,0,s
PTF13ebh,0.01326,0.012484,0.632,0.004,15.042,0.007,-13.1,0.0668,0.0067,6.795e-06,,,,0.117,0.009,4.9e-05,NGC0890,33.296,0.081,0.0,0.0,0.0,0.0,10.86,10.809999999999999,10.91,N/A,N/A,0,s
SN1970J,0.0132,0.0119644,0.95,0.054,14.808,0.067,-14.0,0.0689,0.0069,0.002535,33.499,0.181,Ho,0.18,0.104,0.004489,NGC7619,33.341,0.081,0.0,0.0,0.0,0.0,11.34,11.267,11.413,N/A,N/A,0,s
SN1980N,0.005871,0.0055142,0.903,0.006,12.458,0.009,-1.5,0.018,0.0018,4.425e-06,31.817,0.394,Ho,0.07,0.012,8.1e-05,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0,s
SN1981D,0.005871,0.0055129,0.792,0.033,12.551,0.034,-5.4,0.0178,0.0018,0.0001706,31.817,0.394,Ho,0.172,0.038,0.001156,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0,s
SN1983G,0.00206,0.0031747,0.901,0.049,12.902,0.074,2.7,0.0278,0.0028,-1.557e-05,30.619,0.684,Ho,0.213,0.077,0.005476,NGC4753,31.92,0.197,,,,,11.148,11.084,11.212,N/A,N/A,0,s
SN1992A,0.006261,0.0059396,0.786,0.008,12.539,0.006,-7.0,0.0144,0.0014,2.488e-05,31.979,0.365,Ho,0.039,0.007,3.6e-05,NGC1380,31.632,0.075,,,,,10.931,10.899,10.963,N/A,N/A,0,s
SN1992bo,0.01851,0.0177382,0.734,0.006,15.791,0.009,-7.9,0.0238,0.0024,2.896e-05,34.355,0.122,Ho,-0.003,0.012,8.1e-05,E352-057,34.27,0.15,,,,,10.395,10.324,10.466,N/A,N/A,0,s
SN1994D,0.00149,0.0026093,0.824,0.005,11.84,0.006,-11.6,0.0191,0.0019,1.055e-05,30.193,0.832,Ho,-0.047,0.009,3.6e-05,NGC4526,31.32,0.12,,,,,10.996,10.941,11.051,N/A,N/A,0,s
SN1995D,0.006561,0.0076747,1.175,0.009,13.267,0.008,-2.2,0.0484,0.0048,-1.534e-05,32.535,0.283,Ho,-0.053,0.01,6.4e-05,NGC2962,32.532,0.084,0.0,0.0,0.0,0.0,10.597,10.527999999999999,10.666,N/A,N/A,0,s
SN1996X,0.00689,0.0078918,0.918,0.013,13.077,0.016,-3.4,0.0596,0.006,6.341e-05,32.596,0.275,Ho,-0.031,0.019,0.000256,NGC5061,32.26,0.19,,,,,11.057,10.971,11.143,N/A,N/A,0,s
SN1997E,0.01354,0.013528,0.836,0.011,15.194,0.007,-3.3,0.1101,0.011,2.951e-05,33.766,0.16,Ho,0.046,0.01,4.9e-05,NGC2258,33.781,0.094,0.0,0.0,0.0,0.0,11.199,11.129999999999999,11.268,N/A,N/A,0,s
SN1998bp,0.01043,0.0101664,0.563,0.012,15.384,0.012,-1.9,0.0667,0.0067,9.189e-06,33.146,0.213,Ho,0.263,0.016,0.000144,NGC6495,33.1,0.15,,,,,10.462,10.392,10.531,N/A,N/A,0,s
SN1999ej,0.01372,0.0127757,0.779,0.023,15.435,0.005,-2.9,0.0605,0.006,1.341e-05,,,,0.017,0.007,2.5e-05,NGC0495,34.049,0.081,10.116,0.036,64.5,2.4,10.99,10.897,11.083,N/A,N/A,0,s
SN2000cx,0.007929,0.0068909,0.843,0.005,13.122,0.006,-9.0,0.0698,0.007,1.128e-05,32.301,0.315,Ho,0.053,0.008,3.6e-05,NGC0524,32.212,0.09,0.0,0.0,0.0,0.0,10.929,10.84,11.018,N/A,N/A,0,s
SN2002cs,0.01577,0.0153173,1.236,0.016,15.207,0.013,-9.4,0.0878,0.0088,8.522e-05,,,,0.047,0.016,0.000169,NGC6702,33.992,0.087,9.302,0.027,62.9,2.5,11.324,11.229,11.419,N/A,N/A,0,s
SN2002ha,0.014046,0.0130545,0.832,0.005,14.744,0.005,-12.0,0.0852,0.0085,8.086e-06,,,,-0.064,0.007,2.5e-05,NGC6964,33.685,0.096,9.684,0.031,54.6,2.4,11.021,10.915000000000001,11.127,N/A,N/A,0,s
SN2003hv,0.005601,0.0050833,0.789,0.019,12.449,0.049,1.8,0.0133,0.0013,-1.044e-05,31.641,0.427,Ho,-0.079,0.061,0.002401,NGC1201,31.347,0.074,0.0,0.0,0.0,0.0,10.565,10.504999999999999,10.625,N/A,N/A,0,s
SN2006dd,0.005867,0.0055089,0.951,0.003,12.245,0.005,-10.6,0.0179,0.0018,4.918e-06,31.815,0.394,Ho,-0.065,0.007,2.5e-05,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0,s
