sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,em,ml,mu,sample,subtype,quality,caltype
ASAS14ad,0.0264,0.0274352,1.013,0.004,16.946,0.088,11.4,0.0159,0.0016,-5.763e-06,,-0.03,0.011,0.0,N/A,-1.0,-1.0,,,,,8.61,,8.23,8.78,CSPII,Ia,0.973,none
ASAS14hp,0.0388933,0.0386676,1.077,0.01,17.426,0.03,4.4,0.0295,0.0029,1.03e-05,,-0.055,0.005,0.0,N/A,-1.0,-1.0,,,,,9.09,,8.98,9.15,CSPII,Ia,0.984,none
ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.296,0.047,1.1,0.0131,0.0013,-4.468e-05,,0.053,0.013,0.0,N/A,-1.0,-1.0,,,,,10.34,,10.18,10.45,CSPII,Ia,0.985,none
ASAS14hu,0.0215851,0.0218919,1.05,0.007,16.295,0.017,-1.1,0.0612,0.0061,1.944e-05,,-0.052,0.006,0.0,N/A,-1.0,-1.0,,,,,9.93,,9.8,10.24,CSPII,Ia,0.983,none
ASAS14jc,0.0113167,0.0117796,0.914,0.005,14.994,0.084,9.3,0.1346,0.0135,-1.452e-05,,0.426,0.01,0.0,N/A,-1.0,-1.0,,,,,9.46,,9.32,9.77,CSPII,Ia,0.962,none
ASAS14jg,0.0148167,0.014347,1.3,0.017,15.52,0.069,10.0,0.0128,0.0013,-2.094e-05,,0.068,0.059,0.0,N/A,-1.0,-1.0,,,,,8.76,,8.57,8.88,CSPII,Ia,0.961,none
ASAS14jz,0.0157891,0.0156168,0.985,0.005,15.37,0.033,-3.9,0.0472,0.0047,-1.897e-06,,-0.045,0.006,0.0,N/A,-1.0,-1.0,,,,,8.23,,8.11,8.35,CSPII,Ia,0.952,none
ASAS14kd,0.0243,0.0230683,1.174,0.007,16.436,0.131,14.8,0.0574,0.0057,6.119e-05,,0.221,0.007,0.0,N/A,-1.0,-1.0,,,,,10.14,,10.03,10.23,CSPII,Ia-91T,0.941,none
ASAS14kq,0.0335767,0.0325972,1.157,0.011,17.372,0.036,4.6,0.0155,0.0016,9.215e-05,,-0.038,0.011,0.0,N/A,-1.0,-1.0,,,,,8.91,,8.78,9.11,CSPII,Ia,0.961,none
ASAS14lo,0.0199167,0.0210151,0.95,0.018,16.452,0.067,5.9,0.0282,0.0028,-4.112e-06,,0.116,0.061,0.0,N/A,-1.0,-1.0,,,,,9.69,,9.47,9.79,CSPII,Ia,0.979,none
