sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
ASAS14ad,0.0264,0.0274352,1.013,0.004,16.268,0.004,-8.4,0.0159,0.0016,6.05e-06,CSPII,Ia,0.973,0,1,-0.03,0.011,-1.6e-05,8.23,8.61,8.78,N/A,-1.0,-1.0,none
ASAS14hp,0.0388933,0.0386676,1.077,0.01,16.551,0.003,-5.6,0.0295,0.0029,-2.942e-06,CSPII,Ia,0.984,1,0,-0.055,0.005,-9e-06,8.98,9.09,9.15,N/A,-1.0,-1.0,none
ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.028,0.009,-7.4,0.0131,0.0013,3.943e-05,CSPII,Ia,0.985,1,0,0.053,0.013,-8.1e-05,10.18,10.34,10.45,N/A,-1.0,-1.0,none
ASAS14hu,0.0215851,0.0218919,1.05,0.007,15.436,0.004,-8.1,0.0612,0.0061,-6.662e-06,CSPII,Ia,0.983,0,1,-0.052,0.006,-1.6e-05,9.8,9.93,10.24,N/A,-1.0,-1.0,none
ASAS14jc,0.0113167,0.0117796,0.914,0.005,15.253,0.006,-6.6,0.1346,0.0135,5.219e-06,CSPII,Ia,0.962,0,1,0.426,0.01,-3.6e-05,9.32,9.46,9.77,N/A,-1.0,-1.0,none
ASAS14jg,0.0148167,0.014347,1.3,0.017,14.719,0.035,1.8,0.0128,0.0013,-3.733e-06,CSPII,Ia,0.961,0,1,0.068,0.059,-0.001225,8.57,8.76,8.88,N/A,-1.0,-1.0,none
ASAS14jz,0.0157891,0.0156168,0.985,0.005,14.667,0.004,-9.7,0.0472,0.0047,9.292e-06,CSPII,Ia,0.952,0,0,-0.045,0.006,-1.6e-05,8.11,8.23,8.35,N/A,-1.0,-1.0,none
ASAS14kd,0.0243,0.0230683,1.174,0.007,16.018,0.005,-8.1,0.0574,0.0057,1.454e-05,CSPII,Ia-91T,0.941,0,0,0.221,0.007,-2.5e-05,10.03,10.14,10.23,N/A,-1.0,-1.0,none
ASAS14kq,0.0335767,0.0325972,1.157,0.011,16.621,0.008,-6.4,0.0155,0.0016,4.669e-05,CSPII,Ia,0.961,1,0,-0.038,0.011,-6.4e-05,8.78,8.91,9.11,N/A,-1.0,-1.0,none
ASAS14lo,0.0199167,0.0210151,0.95,0.018,15.881,0.036,1.0,0.0282,0.0028,-6.901e-06,CSPII,Ia,0.979,0,1,0.116,0.061,-0.001296,9.47,9.69,9.79,N/A,-1.0,-1.0,none
