sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype,Ho,eHo,meth,kmag,ekmag,dsbf,ed
ASAS14ad,0.0264,0.0274352,1.013,0.004,17.23,0.061,11.2,0.0159,0.0016,5.421e-06,CSPII,Ia,0.973,0,1,-0.03,0.011,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none,,,,,,,
ASAS14hp,0.0388933,0.0386676,1.077,0.01,17.641,0.025,4.1,0.0295,0.0029,1.978e-05,CSPII,Ia,0.984,1,0,-0.055,0.005,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none,,,,,,,
ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.39,0.051,1.7,0.0131,0.0013,-8.493e-06,CSPII,Ia,0.985,1,0,0.053,0.013,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none,,,,,,,
ASAS14hu,0.0215851,0.0218919,1.05,0.007,16.467,0.015,-1.4,0.0612,0.0061,1.754e-05,CSPII,Ia,0.983,0,1,-0.052,0.006,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none,,,,,,,
ASAS14jc,0.0113167,0.0117796,0.914,0.005,14.968,0.046,9.2,0.1346,0.0135,1.137e-05,CSPII,Ia,0.962,0,1,0.426,0.01,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none,,,,,,,
ASAS14jg,0.0148167,0.014347,1.3,0.017,15.533,0.04,9.8,0.0128,0.0013,-1.272e-05,CSPII,Ia,0.961,0,1,0.068,0.059,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none,,,,,,,
ASAS14jz,0.0157891,0.0156168,0.985,0.005,15.34,0.034,-4.1,0.0472,0.0047,-9.462e-06,CSPII,Ia,0.952,0,0,-0.045,0.006,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none,,,,,,,
ASAS14kd,0.0243,0.0230683,1.174,0.007,16.363,0.075,14.5,0.0574,0.0057,-7.291e-06,CSPII,Ia-91T,0.941,0,0,0.221,0.007,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none,,,,,,,
ASAS14lp,0.0050967,0.0062254,1.027,0.004,12.363,0.014,-8.5,0.0213,0.0021,7.614e-06,CSPII,Ia,0.335,0,1,0.237,0.006,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none,,,,,,,
ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.98,0.089,13.0,0.0275,0.0028,3.217e-05,CSPII,Ia,0.977,0,1,0.013,0.078,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none,,,,,,,
ASAS14lt,0.0320233,0.0314552,0.947,0.008,17.105,0.032,0.9,0.0474,0.0047,2.914e-06,CSPII,Ia,0.984,1,0,-0.034,0.016,0.0,10.56,10.64,10.7,N/A,-1.0,-1.0,none,,,,,,,
ASAS14lw,0.0208855,0.0202609,1.156,0.009,16.516,0.049,-4.8,0.0117,0.0012,2.512e-05,CSPII,Ia,0.939,0,1,-0.01,0.011,0.0,6.08,6.35,6.72,N/A,-1.0,-1.0,none,,,,,,,
ASAS14me,0.0178,0.017386,1.078,0.005,15.997,0.039,5.9,0.0175,0.0018,1.005e-05,CSPII,Ia,0.981,0,1,0.001,0.006,0.0,8.91,9.05,9.15,N/A,-1.0,-1.0,none,,,,,,,
ASAS14mw,0.0273867,0.0271207,1.063,0.007,16.899,0.016,-0.3,0.0179,0.0018,8.659e-06,CSPII,Ia,0.984,1,1,-0.042,0.005,0.0,10.59,10.68,10.75,N/A,-1.0,-1.0,none,,,,,,,
ASAS14my,0.0205,0.0217279,0.921,0.005,16.277,0.02,-3.8,0.0316,0.0032,1.462e-06,CSPII,Ia,0.975,0,1,0.007,0.01,0.0,10.11,10.31,10.74,N/A,-1.0,-1.0,none,,,,,,,
ASAS15aj,0.0109133,0.0120218,0.83,0.007,14.876,0.028,2.2,0.0656,0.0066,3.01e-05,CSPII,Ia,0.952,0,1,0.095,0.009,0.0,11.05,11.2,11.35,N/A,-1.0,-1.0,none,,,,,,,
ASAS15al,0.0337766,0.0337612,1.079,0.027,17.668,0.05,23.7,0.0293,0.0029,4.441e-05,CSPII,Ia,0.916,1,0,0.043,0.059,0.0,8.03,8.07,8.23,N/A,-1.0,-1.0,none,,,,,,,
ASAS15as,0.0286801,0.0297845,1.077,0.014,17.191,0.036,16.0,0.0398,0.004,-3.904e-06,CSPII,Ia,0.985,1,1,0.018,0.008,0.0,7.47,7.66,8.01,N/A,-1.0,-1.0,none,,,,,,,
ASAS15ba,0.0231167,0.0239771,0.965,0.004,16.814,0.041,9.4,0.0223,0.0022,6.377e-06,CSPII,Ia,0.983,0,1,0.0,0.006,0.0,7.83,7.99,8.19,N/A,-1.0,-1.0,none,,,,,,,
ASAS15be,0.0218833,0.0213892,1.14,0.005,16.575,0.015,4.1,0.0167,0.0017,4.425e-06,CSPII,Ia,0.976,0,1,0.008,0.006,0.0,7.66,7.8,8.16,N/A,-1.0,-1.0,none,,,,,,,
ASAS15bm,0.0207856,0.0214395,0.989,0.005,16.333,0.019,-0.2,0.069,0.0069,5.783e-06,CSPII,Ia,0.976,0,1,0.119,0.01,0.0,9.89,10.02,10.15,N/A,-1.0,-1.0,none,,,,,,,
ASAS15cb,0.04001,0.0411361,1.088,0.052,17.392,0.067,7.4,0.0279,0.0028,0.0004595,CSPII,Ia,0.583,1,0,0.102,0.079,0.0,10.17,10.28,10.4,N/A,-1.0,-1.0,none,,,,,,,
ASAS15cd,0.0342863,0.0353887,1.001,0.005,17.575,0.018,0.9,0.0261,0.0026,6.798e-06,CSPII,Ia,0.983,1,0,-0.03,0.009,0.0,9.85,9.95,10.02,N/A,-1.0,-1.0,none,,,,,,,
